Equipment,Order_ID,Step,Estimated_Time,Real_Time,Result,Type,Technician,Month
Equipment_1,Order_1_1,Electrical Test,6,6.71,Pass,Motion Sensor,Barbara,March
Equipment_1,Order_1_1,Preparation,21,21.53,Pass,Motion Sensor,Maria,March
Equipment_1,Order_1_1,Final Acceptance Test,17,15.01,Pass,Motion Sensor,Walter,March
Equipment_1,Order_1_1,Functional Test,22,19.9,Pass,Motion Sensor,Amanda,March
Equipment_1,Order_1_1,Packaging,29,34.51,Pass,Motion Sensor,Karla,March
Equipment_1,Order_1_2,Electrical Test,21,16.88,Pass,Motion Sensor,Kimberly,April
Equipment_1,Order_1_2,General Soldering,17,20.68,Pass,Motion Sensor,Lisa,April
Equipment_1,Order_1_2,Component Placement,25,31.96,Pass,Motion Sensor,Paul,April
Equipment_1,Order_1_2,Final Acceptance Test,17,14.24,Pass,Motion Sensor,Caitlin,April
Equipment_1,Order_1_2,Packaging,19,20.6,Pass,Motion Sensor,Stephen,April
Equipment_1,Order_1_2,Functional Test,16,16.54,Pass,Motion Sensor,Shannon,April
Equipment_1,Order_1_2,Lacquering,20,25.53,Pass,Motion Sensor,Bryan,April
Equipment_1,Order_1_3,Functional Test,5,5.89,Pass,Motion Sensor,Mark,May
Equipment_1,Order_1_3,Component Placement,6,6.58,Pass,Motion Sensor,Caitlin,May
Equipment_1,Order_1_3,Calibration,24,29.42,Pass,Motion Sensor,Cory,May
Equipment_1,Order_1_3,Final Acceptance Test,17,16.16,Pass,Motion Sensor,Robert,May
Equipment_1,Order_1_3,Preparation,10,9.88,Pass,Motion Sensor,John,May
Equipment_1,Order_1_3,Electrical Test,17,18.83,Pass,Motion Sensor,Billy,May
Equipment_1,Order_1_3,Lacquering,21,20.81,Pass,Motion Sensor,Megan,May
Equipment_1,Order_1_3,Packaging,26,24.54,Pass,Motion Sensor,Matthew,May
Equipment_1,Order_1_4,Preparation,20,17.6,Pass,Motion Sensor,Sandra,June
Equipment_1,Order_1_4,Lacquering,12,11.57,Fail,Motion Sensor,Scott,June
Equipment_1,Order_1_4,General Soldering,5,5.34,Pass,Motion Sensor,Jessica,June
Equipment_1,Order_1_4,Packaging,28,35.62,Pass,Motion Sensor,Travis,June
Equipment_1,Order_1_4,Functional Test,20,20.8,Pass,Motion Sensor,Samantha,June
Equipment_1,Order_1_5,Calibration,24,24.76,Pass,Motion Sensor,Miranda,July
Equipment_1,Order_1_5,Packaging,5,5.14,Pass,Motion Sensor,Teresa,July
Equipment_1,Order_1_5,Functional Test,23,24.01,Fail,Motion Sensor,Sharon,July
Equipment_1,Order_1_5,Preparation,9,8.6,Pass,Motion Sensor,Gabriel,July
Equipment_1,Order_1_5,Lacquering,21,26.43,Pass,Motion Sensor,Michelle,July
Equipment_1,Order_1_5,Electrical Test,5,5.43,Pass,Motion Sensor,Tristan,July
Equipment_1,Order_1_5,General Soldering,11,12.86,Pass,Motion Sensor,Jeremy,July
Equipment_1,Order_1_5,Component Placement,28,34.23,Pass,Motion Sensor,Kelsey,July
Equipment_1,Order_1_6,Preparation,7,5.94,Pass,Motion Sensor,Jeffrey,August
Equipment_1,Order_1_6,Functional Test,16,18.64,Pass,Motion Sensor,Kyle,August
Equipment_1,Order_1_6,Final Acceptance Test,24,27.62,Pass,Motion Sensor,Annette,August
Equipment_1,Order_1_6,Component Placement,25,26.2,Pass,Motion Sensor,Stacie,August
Equipment_1,Order_1_6,Lacquering,12,11.25,Pass,Motion Sensor,James,August
Equipment_1,Order_1_6,General Soldering,26,24.08,Pass,Motion Sensor,Yesenia,August
Equipment_1,Order_1_6,Electrical Test,19,17.67,Pass,Motion Sensor,Amy,August
Equipment_1,Order_1_6,Packaging,16,17.91,Pass,Motion Sensor,Sally,August
Equipment_1,Order_1_6,Calibration,12,11.89,Pass,Motion Sensor,Sarah,August
Equipment_1,Order_1_7,Electrical Test,21,18.08,Pass,Motion Sensor,Wayne,September
Equipment_1,Order_1_7,Functional Test,26,28.65,Pass,Motion Sensor,Gregory,September
Equipment_1,Order_1_7,Packaging,20,23.19,Pass,Motion Sensor,Christopher,September
Equipment_1,Order_1_7,Component Placement,24,23.21,Pass,Motion Sensor,Brad,September
Equipment_1,Order_1_7,General Soldering,23,22.92,Pass,Motion Sensor,Brian,September
